,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
161,161,2003 Suzuki LTA 50cc,,,,,,,,,1100,2003,Dallas,Suzuki
162,162,2003 Suzuki intruder,gas,44000,black,clean,manual,like new,,cruiser,4000,2003,Dallas,Suzuki
163,163,2003 Victory V92TC,gas,43000,red,clean,manual,good,1500,cruiser,5000,2003,Austin,Victory
164,164,2003 Yamaha YZF R6  -Finance it with Instant Credit Approval!,,,,,,,,,4995,2003,Beaumont,Yamaha
165,165,2003 harley davidson ultra   anniversary,gas,40000,silver,clean,manual,excellent,96,cruiser,8500,2003,Houston,Harley Davidson
166,166,2003 honda VTX 1300,gas,7786,,clean,manual,excellent,,sport bike,3100,2003,Dallas,Honda
167,167,2003 kawasaki ZRX 1200R,gas,15000,blue,clean,manual,like new,1200,sport bike,6800,2003,Dallas,Kawasaki
168,168,2004 HARLEY DAVIDSON HERITAGE SOFTAIL CLASSIC FLSTI,gas,31711,white,clean,manual,good,1449,cruiser,10000,2004,Dallas,Harley Davidson
169,169,2004 HARLEY DAVIDSON ULTRA CLASSIC ELECTRA GLIDE FLHTCUI,gas,30880,red,clean,manual,good,1449,touring,9500,2004,Houston,Harley Davidson
170,170,2004 HARLEY DAVIDSON V-ROD,,,,,,,,,6480,2004,Dallas,Harley Davidson
171,171,2004 Harley Davidson Road King Custom,gas,17900,black,clean,manual,excellent,1450,cruiser,6800,2004,Austin,Harley Davidson
172,172,2004 Harley Davidson Road King FLHRCI,gas,47689,black,clean,manual,,,cruiser,6800,2004,Corpus Christi,Harley Davidson
173,173,2004 Harley Davidson Softail Bagger,gas,37887,red,clean,manual,excellent,1442,touring,8100,2004,San Antonio,Harley Davidson
174,174,2004 Harley FXDI Dyna Super Glide®,gas,13200,black,clean,manual,excellent,1449,touring,7999,2004,Houston,Harley Davidson
175,175,2004 Harley Softail Deuce CVO,gas,20000,,,manual,,,,15000,2004,Austin,Harley Davidson
176,176,2004 Harley davidson sportster,,,,,,,,,5000,2004,Houston,Harley Davidson
177,177,2004 Harley-Davidson Fat Boy FLSTFI,gas,27310,red,clean,manual,excellent,,cruiser,7000,2004,Dallas,Harley Davidson
178,178,2004 Harley-Davidson® FLHTCI - Electra Glide® Classic,,,,,,,,,10950,2004,Corpus Christi,Harley Davidson
179,179,2004 Harley-Davidson® FLSTC - Heritage Softail® Classic,,,,,,,,,7490,2004,Dallas,Harley Davidson
180,180,2004 Harley-Davidson® FLSTCI - Heritage Softail® Classic,,,,,,,,,8750,2004,Dallas,Harley Davidson
181,181,2004 Harley-Davidson® FLSTFI - Softail® Fat Boy®,gas,27310,red,clean,manual,excellent,,cruiser,7996,2004,Dallas,Harley Davidson
182,182,2004 Harley-Davidson® FXSTD - Softail® Deuce,,,,,,,,,7996,2004,Dallas,Harley Davidson
183,183,2004 Harley-Davidson® XL1200C - Sportster® 1200 Custom,,,,,,,,,4896,2004,Dallas,Harley Davidson
184,184,2004 Honda CR250X,gas,100,red,,manual,excellent,250,dirtbike,3199,2004,Dallas,Honda
185,185,2004 Honda VFR800,gas,12500,red,clean,manual,excellent,,sport touring,4500,2004,Dallas,Honda
186,186,2004 Honda VTX1300C4,gas,8194,black,clean,manual,good,1300,cruiser,3600,2004,Beaumont,Honda
187,187,2004 Kawasaki KDX 220r,gas,999,green,clean,manual,excellent,220,dirtbike,4950,2004,Dallas,Kawasaki
188,188,2004 Kawasaki Ninja 636 cc,gas,33186,blue,clean,manual,good,636,sport bike,3500,2004,Dallas,Kawasaki
189,189,2004 Suzuki GZ 250,gas,7200,black,clean,manual,good,250,cruiser,1250,2004,Dallas,Suzuki
190,190,2004 Yamaha FJR 1300,gas,50000,silver,clean,manual,good,1300,sport touring,5000,2004,Dallas,Yamaha
191,191,2004 Yamaha Royal Star Midnight Venture,gas,30000,black,clean,manual,excellent,,touring,6950,2004,Houston,Yamaha
192,192,2004 Yamaha XVS1100 1100,gas,16000,silver,rebuilt,automatic,good,Unknown,,3995,2004,Dallas,Yamaha
193,193,2004 harley davidson electra glide ultra classic,gas,34000,blue,clean,manual,excellent,,touring,8300,2004,San Antonio,Harley Davidson
194,194,2005 *Harley-Davidson* *Dyna* *Wide* *Glide* *FXDWGI*,other,39329,,clean,manual,,,,6782,2005,Abilene,Harley Davidson
195,195,2005 HD FLHPI - Road King Police,,,,,,,,,7500,2005,Austin,Harley Davidson
196,196,2005 HD Softail Deluxe,gas,24000,custom,clean,manual,excellent,1450,touring,7750,2005,Dallas,Harley Davidson
197,197,2005 HD VRSCSE Screamin Eagle,gas,1517,red,clean,manual,like new,1250,sport touring,15000,2005,Beaumont,Harley Davidson
198,198,2005 Harley 1200 Custom,gas,18000,,clean,manual,,,,4000,2005,Dallas,Harley Davidson
199,199,2005 Harley Davidson,gas,3600,black,clean,manual,excellent,88,sport touring,6800,2005,Austin,Harley Davidson
200,200,2005 Harley Davidson FLHTCUI,gas,57028,,,manual,excellent,,,15000,2005,Amarillo,Harley Davidson
201,201,2005 Harley Davidson Softtail Springer,gas,18438,blue,clean,manual,excellent,,other,10000,2005,Austin,Harley Davidson
202,202,2005 Harley Davidson Sportster,,,,,,,,,4000,2005,East Texas,Harley Davidson
203,203,2005 Harley Davidson Ultra Classic,gas,36862,,,manual,excellent,,touring,6500,2005,Corpus Christi,Harley Davidson
204,204,2005 Harley Davison Lowrider,,,,,,,,,9000,2005,Dallas,Harley Davidson
